Ecuador,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Ecuador,ECU,Exportaciones de productos de alta tecnología (% de las exportaciones de productos manufacturados),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.59201882627861,4.6050336108404,8.76955830254005,3.57674835776262,2.93320601523102,5.27775127786919,5.63721539116844,7.68854415658357,9.19215367600652,8.05377239305593,5.28931490090833,5.52795282483139,
Ecuador,ECU,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,146,126,144,120,144,164,155,190,226,193,190,199,326,532,1124,974,1258,1436,1558,2104,2481,2451,2327,2348,2620,2905,2172,1928,2192,2354,2714,2852,3007,2904,3820,4307,4900,5264,4203,4451,4927,4678,5042,6223,7753,10100,12728,14321,18818,13863,17490,22322,23765,24848,25724,18331,16798,19122,21628,22329,
Ecuador,ECU,"Computadoras, comunicaciones y otros servicios (% de importaciones de servicios comerciales)",TM.VAL.OTHR.ZS.WT,,,,,,,,,,,,,,,,,4.84429065743944,9.75733063700707,9.97990622906899,8.57410881801125,13.8035416981989,15.0834403080873,25.4261363636364,24.0938166311301,15.0197628458498,14.5662847790507,16.7857142857143,13.7763371150729,10.8771929824561,8.91938250428817,27.1523178807947,29.2964244521338,29.2792792792793,39.0475389774776,28.2953442137871,31.8220048730155,34.5475650876126,36.0166866300442,37.6618346340539,40.4900786189648,36.6075780820238,30.4527630358735,26.7969838034201,27.5199153642675,24.0470033909474,22.4875602303166,21.5762555681166,20.5545908371234,18.8428319548729,19.2294852980548,14.4197708153148,12.4403561471338,12.9273661650575,13.8437466918778,14.1665918228564,15.6909345022955,19.9619373712875,19.0851109205365,19.2151672302338,16.4686397910536,
Ecuador,ECU,Importaciones de productos manufacturados (% de importaciones de mercaderías),TM.VAL.MANF.ZS.UN,,,79.6037158532215,71.6583866310479,79.7367090840714,76.2812048399979,78.9781921090103,74.4209130666079,82.1712042183089,79.9249307856314,83.3023911490934,79.7407553372772,79.4932900825071,82.3789063824766,69.6153664451417,85.9669155870853,86.8883918656101,88.2378217474549,87.9111057357398,,86.5472682103087,77.4664278632247,87.8662596970399,82.862482748145,80.4114703512059,73.3411755640397,83.7840010376763,87.1381987494516,,,83.8266222981824,86.3544821545947,87.476358250986,88.8718450093581,87.1274320205273,81.8327934001047,80.8506731885355,77.7451613413963,75.2119551072648,74.7088478000046,76.4657573514368,79.7567815864923,83.2217660247826,78.0010017563051,78.2362743879289,77.4388430493985,69.3713084309797,67.2602974389882,69.7056655858425,70.1433306203792,67.7619986595132,66.2779962102468,67.3538161513163,66.7507180254845,65.3339169582161,68.8537906110236,70.1246559620373,69.6261973747756,67.3730466715665,64.1740796125924,
Ecuador,ECU,"Tasa arancelaria, aplicada, promedio ponderado, todos los productos (%)",TM.TAX.MRCH.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.15,11.47,11.05,10.95,10.39,10.7,11.11,9.58,11.16,10.67,9.9,8.95,8.69,6.16,5.9,5.14,4.5,6.11,4.2,4.34,,5.09,6.38,6.81,7.03,7.35,,
Ecuador,ECU,Comercio de mercaderías (% del PIB),TG.VAL.TOTL.GD.ZS,1.25636316144483E-05,1.32850554289179E-05,1.58739754290533E-05,1.35939237944242E-05,1.31453072086942E-05,1.37827125718386E-05,1.3542942886854E-05,1.58208262181218E-05,1.86276654633597E-05,1.39773997090664E-05,1.62095833732942E-05,1.95699671241236E-05,2.02449022063395E-05,2.38709751319446E-05,2.7306094290926E-05,2.53631900927164E-05,2.43732781499469E-05,2.38066160780709E-05,2.56909158510595E-05,2.61302054453543E-05,2.64742673311273E-05,2.15352351199377E-05,2.25591220887236E-05,2.23582786939606E-05,2.50465407072522E-05,2.72434207851945E-05,2.60021063084172E-05,2.99739730924164E-05,2.99267081761479E-05,3.03005680120598E-05,3.0027669092113E-05,3.08973076095635E-05,3.04406295736661E-05,2.88615110330849E-05,3.30710644724163E-05,3.47891793950927E-05,3.50228426677793E-05,3.62864170107886E-05,3.49475949325631E-05,3.8014234458594E-05,4.71852408379876E-05,4.10367297735636E-05,4.01871242527526E-05,3.98546437073168E-05,4.3668419424852E-05,4.91169158229252E-05,5.3078878349843E-05,5.53131339168143E-05,6.09915687696938E-05,4.63102133942259E-05,5.47491899510788E-05,5.8983309388498E-05,5.60048397862604E-05,5.46559301763081E-05,5.25429350243645E-05,4.01337970492832E-05,3.31426491961552E-05,3.75201846454848E-05,4.16550423640288E-05,4.17859376585978E-05,
Ecuador,ECU,Crecimiento de la población rural (% anual),SP.RUR.TOTL.ZG,,1.9385414888396,1.93735169353926,2.02084708143482,2.08065571583019,2.09032681733287,2.09389774022226,2.09344646444785,2.07969603071557,2.06452075807415,2.03331461378966,2.00627795914295,1.97140626772616,1.93436621897271,1.84840829914064,1.20987210075753,1.1315620329508,1.06327155360669,0.992322086325567,0.929714216981507,0.868254081934982,0.812664061756957,0.749485379881268,0.871980431967089,0.944534053707994,0.906307866398032,0.858565874157238,0.814154653685325,0.760876835373559,0.717412259976478,0.660016515109533,0.945564083739314,1.12580539020692,1.08244540701313,1.02890877621912,0.976623832073771,0.92428256831901,0.874249326838604,0.810303374408104,0.729550857498079,0.643735794021971,0.557501870814576,0.939010770726821,1.19592554564249,1.16833908934302,1.16038136720358,1.16180403884845,1.15436762978454,1.14062821753636,1.1101343085534,1.06806058237808,1.10626525178027,1.12948925682412,1.12604218124804,1.17425010789608,1.24429409269777,1.33461710968201,1.39489695917429,1.34911264130179,1.22210244180587,
Ecuador,ECU,"Tasa de inactividad por edades, personas menores de 15 años (% de la población en edad de trabajar)",SP.POP.DPND.YG,83.627472890492,84.5097192367719,85.7073044725987,86.9373111737635,87.7591346083326,87.9952574894335,88.3666126154337,88.181472946711,87.6048956677259,86.888014847806,86.1572479243238,85.8013995965938,85.2743158455008,84.6196510263921,83.8416436666879,82.9385420350948,82.203855511489,81.3171114065032,80.2994487753926,79.1713957865223,77.9558090363872,76.8615222325081,75.7085116412156,74.5060526331339,73.2624677337986,71.9953243134317,70.9459650057367,69.8407895539964,68.7165437606708,67.6102764273652,66.5365927779673,65.6217571510164,64.6954937420715,63.7701865576436,62.8579825894346,61.9642606006505,61.2081084057656,60.4905220408337,59.7718608284242,58.9963203891198,58.1390601251782,57.43765311287,56.6039957303364,55.6918270892183,54.7792928617348,53.9024860031936,52.9054594150697,51.9889790553386,51.1107110794468,50.215908950975,49.2913022617833,48.4123399602307,47.5314438239593,46.6715595949899,45.8745589747855,45.165339818605,44.4866728637321,43.8441829473042,43.2445820153842,42.6780851636909,
Ecuador,ECU,"Población de 65 a 69 años, varones (% de la población masculina)",SP.POP.6569.MA.5Y,1.76015708062489,1.72820157019017,1.69494554008832,1.6640020407496,1.63943679417493,1.62257554658311,1.59533060991654,1.57517928862663,1.56062884674297,1.54914892790094,1.53972624317823,1.5184320245091,1.49920019123573,1.48519335317523,1.4807919750553,1.48744088018536,1.49145525329743,1.50515261694094,1.52175281912968,1.53224580228946,1.53273560553551,1.51541288450327,1.4917907638052,1.4682000288226,1.45213114378095,1.44690936895037,1.44055549884667,1.44249152805364,1.45119069678884,1.46454337270139,1.48130579028152,1.49284208130967,1.50825538734247,1.52690780883638,1.54763162450451,1.56956496884865,1.58603580861971,1.60366468150868,1.62288048429281,1.64396755098016,1.66699684956809,1.6847874470799,1.70442587265282,1.72775106405945,1.75714235441093,1.79334834989453,1.82916484145016,1.87400182117491,1.92174491945945,1.9635761540204,1.99539835430597,2.0101739781166,2.01519629995053,2.0244855093286,2.05761749724302,2.12373223327438,2.20505077161268,2.31537230811433,2.43802705869222,2.55045545778965,
Ecuador,ECU,"Población de 25 a 29 años, varones (% de la población masculina)",SP.POP.2529.MA.5Y,6.96230813424934,6.94274888506574,6.9098077707028,6.87671264945888,6.86262558399423,6.87415772329443,6.8878158933796,6.93212297745537,6.98481493859136,7.01378714832971,7.00554273881525,6.95122499280466,6.86414274310564,6.78587451941175,6.77612982058196,6.86304801052435,7.02123619243341,7.26248734277149,7.53763649625078,7.77732488829318,7.94366998095876,8.03840889896253,8.07320391031329,8.07247153768554,8.07297938283189,8.09505510437655,8.11837990630836,8.15430710265178,8.20001838756544,8.25067103507097,8.30337276340692,8.3529977363855,8.40702789346991,8.45957425489342,8.50305174426605,8.53326392471342,8.53936716422785,8.53395246583145,8.51943277139433,8.49912076680917,8.47589196122202,8.4302940505302,8.38391750776503,8.34133452764825,8.30840132084436,8.2891937006593,8.29587856654872,8.30858728900282,8.32578601676012,8.34480693351696,8.36342389778778,8.38088061147594,8.3962770329716,8.40724673429065,8.41020771013968,8.40370234772597,8.4088007198148,8.40564121748229,8.39943101821205,8.39883886829357,
